scenario_id,sim_time_s,time,ai_requested_c,applied_c,baseline_c,status,reason
4,6470.0,01:47:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6480.0,01:48:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6490.0,01:48:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6500.0,01:48:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6510.0,01:48:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6520.0,01:48:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6530.0,01:48:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6540.0,01:49:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6550.0,01:49:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6560.0,01:49:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6570.0,01:49:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6580.0,01:49:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6590.0,01:49:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6600.0,01:50:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6610.0,01:50:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6620.0,01:50:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6630.0,01:50:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6640.0,01:50:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6650.0,01:50:50,25.5,25.5,22.5,APPLIED,Validation passed
4,6660.0,01:51:00,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (10.0s / 60s, 50.0s remaining)"
4,6670.0,01:51:10,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (20.0s / 60s, 40.0s remaining)"
4,6680.0,01:51:20,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (30.0s / 60s, 30.0s remaining)"
4,6690.0,01:51:30,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (40.0s / 60s, 20.0s remaining)"
4,6700.0,01:51:40,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (50.0s / 60s, 10.0s remaining)"
4,6710.0,01:51:50,26.0,26.0,22.5,APPLIED,Validation passed
4,6720.0,01:52:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6730.0,01:52:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6740.0,01:52:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6750.0,01:52:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6760.0,01:52:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6770.0,01:52:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6780.0,01:53:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6790.0,01:53:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6800.0,01:53:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6810.0,01:53:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6820.0,01:53:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6830.0,01:53:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6840.0,01:54:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6850.0,01:54:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6860.0,01:54:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6870.0,01:54:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6880.0,01:54:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6890.0,01:54:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6900.0,01:55:00,25.5,25.5,22.5,APPLIED,Validation passed
4,6910.0,01:55:10,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (10.0s / 60s, 50.0s remaining)"
4,6920.0,01:55:20,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (20.0s / 60s, 40.0s remaining)"
4,6930.0,01:55:30,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (30.0s / 60s, 30.0s remaining)"
4,6940.0,01:55:40,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (40.0s / 60s, 20.0s remaining)"
4,6950.0,01:55:50,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (50.0s / 60s, 10.0s remaining)"
4,6960.0,01:56:00,26.0,26.0,22.5,APPLIED,Validation passed
4,6970.0,01:56:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6980.0,01:56:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6990.0,01:56:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7000.0,01:56:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7010.0,01:56:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7020.0,01:57:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7030.0,01:57:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7040.0,01:57:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7050.0,01:57:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7060.0,01:57:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7070.0,01:57:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7080.0,01:58:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7090.0,01:58:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7100.0,01:58:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7110.0,01:58:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7120.0,01:58:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7130.0,01:58:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7140.0,01:59:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,7150.0,01:59:10,25.5,25.5,22.5,APPLIED,Validation passed
4,7160.0,01:59:20,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (10.0s / 60s, 50.0s remaining)"
4,7170.0,01:59:30,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (20.0s / 60s, 40.0s remaining)"
4,7180.0,01:59:40,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (30.0s / 60s, 30.0s remaining)"
4,7190.0,01:59:50,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (40.0s / 60s, 20.0s remaining)"
5,6200.0,01:43:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6210.0,01:43:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6220.0,01:43:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6230.0,01:43:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6240.0,01:44:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6250.0,01:44:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6260.0,01:44:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6270.0,01:44:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6280.0,01:44:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6290.0,01:44:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6300.0,01:45:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6310.0,01:45:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6320.0,01:45:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6330.0,01:45:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6340.0,01:45:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6350.0,01:45:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6360.0,01:46:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6370.0,01:46:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6380.0,01:46:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6390.0,01:46:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6400.0,01:46:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6410.0,01:46:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6420.0,01:47:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6430.0,01:47:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6440.0,01:47:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6450.0,01:47:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6460.0,01:47:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6470.0,01:47:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6480.0,01:48:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6490.0,01:48:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6500.0,01:48:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6510.0,01:48:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6520.0,01:48:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6530.0,01:48:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6540.0,01:49:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6550.0,01:49:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6560.0,01:49:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6570.0,01:49:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6580.0,01:49:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6590.0,01:49:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6600.0,01:50:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6610.0,01:50:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6620.0,01:50:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6630.0,01:50:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6640.0,01:50:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6650.0,01:50:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6660.0,01:51:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6670.0,01:51:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6680.0,01:51:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6690.0,01:51:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6700.0,01:51:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6710.0,01:51:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6720.0,01:52:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6730.0,01:52:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6740.0,01:52:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6750.0,01:52:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6760.0,01:52:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6770.0,01:52:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6780.0,01:53:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6790.0,01:53:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6800.0,01:53:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6810.0,01:53:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6820.0,01:53:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6830.0,01:53:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6840.0,01:54:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6850.0,01:54:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
5,6860.0,01:54:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
